cmtid,author_username,model_name,product_name,rating_star,comment,submit_time
45106700351,hakiki_coleha,Tempat tisu hitam,Tempat tisu segi panjang hitam ekonomis grosir,5,,2025-05-29 12:59:13
45106700350,hakiki_coleha,TS capucino kecil,kotak sabun sendok segi capucino ukuran kecil panjang,5,,2025-05-29 12:59:13
45106656641,liznaambarwati,Meme club tinggi,Botol saos kecap memeclub tinggi 400 ml plastik grosir,5,,2025-05-29 12:55:33
45106656638,liznaambarwati,Meme club pendek,Botol saos kecap meme club pendek 200 ml plastik - botol saos murah,5,,2025-05-29 12:55:33
45106652598,timudtimud,Lusinan jaring_8D,(12pcs) Gosok jaring jala hijau cuci piring 8D grosir termurah,5,Ukuran:ok,2025-05-29 12:55:13
45106651549,liznaambarwati,Rak horaz sudut,Rak plastik susun 3 horraz capucino - Rak kosmetik bumbu serbaguna,5,,2025-05-29 12:55:08
45106651546,liznaambarwati,Kardus saftey,Tambahan packing kardus paket tambahan agar safety,5,,2025-05-29 12:55:08
45106650118,timudtimud,Kaki4 rinnai,Tatakan kompor rinnai kaki 4 original super tebal - tatakan nampan rinnai murah berkualitasé,5,Ketebalan:ok,2025-05-29 12:55:01
45106612944,zaj745gp_u,1pak lilin cakra,(1pak) lilin cakra besar panjang 15 cm per pak 8 bj - Lilin putih grosir,4,,2025-05-29 12:51:58
45106612943,zaj745gp_u,"CETAKAN PASTEL,Mini",Cetakan pastel dumpling plastik BRL tebal mengkilap ukran besar kecil mini,4,,2025-05-29 12:51:58
45106612941,zaj745gp_u,Jempel panci,jempel panci kain lemek tahan panas - pengangan kain murah berkualitas,3,,2025-05-29 12:51:58
45106532282,y_e6l3leqd,50bj kecil,Isi 50 pcs Korek api gas kecil SNI murah - korek grosir murah berkualitas,4,,2025-05-29 12:46:42
45106393826,j2premj2prem,12bj_ttp gelas biasa,(12 pcs) Tutup gelas biasa bahan plastik murah grosir berkualitas,4,,2025-05-29 12:38:48
45106284937,meisaceriwis,Basi sayur TTM,Basi sayur bulat TTM plastik warna capucinl plastik tebal,5,,2025-05-29 12:32:13
45106142406,anshop07,Buku tabungan,Bukut tabungan murah isi 12 halaman warna warni grosir,5,,2025-05-29 12:23:52
