cmtid,author_username,model_name,product_name,rating_star,comment,submit_time
46616022683,nurul.pratiwi,Kuas 1inch,Kuas kue plastik tebal warna warni ukuran ½ inch dan 1½ inch grosir,4,Kualitas:baik tp satu ada yng mengelupas di dlam,2025-06-05 15:38:09
46616022682,nurul.pratiwi,Erus kh kecil,Erus plastik kh tebal ukuran besar dan kecil -  sendok sup sayur besar grosir,4,,2025-06-05 15:38:09
46615921441,r3981onz8k,Silet tatra,Silet cukur tatra original extra tajam 10 pcs - silet serbaguna,5,,2025-06-05 15:29:48
46615829719,desinsr23,Hngr benmore coklat,Hanger anak plastik benmore 1 pak isi 6pcs grosir,5,,2025-06-05 15:22:22
46615829718,desinsr23,"TS. Kicik 5L HITAM,Isi 1 pcs",Tong sampah segi kicik hitam 5 liter kecil persegi plastik tebal,5,,2025-06-05 15:22:22
46615771844,qenv9mlefw,Meme club tinggi,Botol saos kecap memeclub tinggi 400 ml plastik grosir,5,Barangnya nya tdk ad yg kurang tokonya amanah terimakasih,2025-06-05 15:17:39
46615770694,alelagistw,Payung anak,Payung anak karkter murah diameter 64 cm - Payung anak grosir,5,,2025-06-05 15:17:33
46615755306,nuraniyahniya,Sealpack 1500ML Wkp,Tepak sealpack toples bulat 1500ml serbaguna coklat plastik,5,,2025-06-05 15:16:17
46615740033,redgarlikh,Hngr benmore coklat,Hanger anak plastik benmore 1 pak isi 6pcs grosir,5,Performa:bagus. Kualitas:baik. Tampilan:menarik,2025-06-05 15:15:02
46615601879,maswahmaswahcianjur,Corong 15 cm,Corong carat air ukuran 15 cm - carat tanggung serbaguna murah,5,,2025-06-05 15:04:30
46615601877,maswahmaswahcianjur,Carat ukur 12,Corong carat air minyak ukuran 12 bahan plastik - carat multiguna,5,,2025-06-05 15:04:30
46615539458,naufan_dea,12bj pemes renteng,(12pcs) Silet pemes renteng kecil warna warna grosir - silet lipat kecil,5,,2025-06-05 14:59:48
46615483612,maulanaradent718,"TS. Kicik 5L HITAM,Isi 1 pcs",Tong sampah segi kicik hitam 5 liter kecil persegi plastik tebal,5,,2025-06-05 14:55:10
46615385768,heabib,6BJ Sandal perl seri,(Isi6pcs) Sandal jepit perl swallow seri ukuran lengkap,5,,2025-06-05 14:47:10
46615353782,gitaputri964,Mangkok sambal tutup,Mangko sambal bakso tutup panda star plus sendok bulat oval plastik,5,,2025-06-05 14:44:32
46615279567,kholil_9394,Silet tatra,Silet cukur tatra original extra tajam 10 pcs - silet serbaguna,4,,2025-06-05 14:38:24
46615262381,safiramalia680,Silet tatra,Silet cukur tatra original extra tajam 10 pcs - silet serbaguna,4,,2025-06-05 14:36:58
46615253889,suyatiningsih805,50bj kecil,Isi 50 pcs Korek api gas kecil SNI murah - korek grosir murah berkualitas,5,,2025-06-05 14:36:15
46615235625,shubiya,12Bj jasmine kecil,(12bj) Cetakan bunga jasmine plastik 7 cm kukus puding bolu per lusin,5,,2025-06-05 14:34:46
46615109633,day5ie3tcv,12bj ctakn Melati,(12bj) cetakan puding jelly bunga melati kukus plastik warna dx rainbow,4,,2025-06-05 14:24:18
46615109632,day5ie3tcv,1bks peniti swan,(1bks) peniti swan putih bagus semua ukuran grosir,4,,2025-06-05 14:24:18
46615109631,day5ie3tcv,Sutil stainles gajah,Sutil stainless terusan tanggung cap gajah - sutil buntu murah,4,,2025-06-05 14:24:18
46615109629,day5ie3tcv,Lem G Btl kurus,Lem g Kore asli original botol kurus ada barcode rekat kuat garansi 10 bulan,4,,2025-06-05 14:24:18
46615109628,day5ie3tcv,CORONG_9,Carat air ukuran 9 plastik corong minyak kecil serbaguna mini bahan plastik,5,Ni ceritanya barngnya yg satu itu peniti kok tinggal wadahnya kan harusnya ada tiga renteng peniti tpi dateng cuma dua renteng yg sayu tingga bks nya saja hadeh agak aneh sih ya...npa tinggl bks nya saja..untuk yg lain ada semua..terima kasih banyk baarokallah,2025-06-05 14:24:18
46614990787,h*****n,Nina_300ML,Botol saos nina 300 Ml plastik tutup warna warni grosir,5,Sudah sampai paketnya . Bahan botol agak tipis ya .. Ga tebel seperti sebelumnya,2025-06-05 14:14:26
46614976219,h*****n,Ts engsel kerang,Tempat sabun engsel kerang plastik coklat capucino,5,"Bagus sudah sampai paketnya . Sudah di pakai juga tempat sabun nya . Muat ,pas",2025-06-05 14:13:14
46614971755,khomsysiyah,Hngr benmore coklat,Hanger anak plastik benmore 1 pak isi 6pcs grosir,4,,2025-06-05 14:12:52
46614962108,h*****n,"Mk stainles 20cm,Isi 1 pcs",Mangkok stainless 20 cm tebal - baskom serbaguna stainless grosir,5,Sudah sampai paketnya . Tapi penyok agak kecewa sebenarnya . Packing kurang aman,2025-06-05 14:12:04
46614945730,h*****n,TA-285 besar,Gunting estika stainless kemasan mika ukuran kecil tanggung besar,5,Sudah sampai paketnya . Sudah digunakan juga gunting nya . Bagus nih,2025-06-05 14:10:43
46614930900,h*****n,Lem G Btl kurus,Lem g Kore asli original botol kurus ada barcode rekat kuat garansi 10 bulan,5,Bagus lemnya sudah dicoba . Mudah digunakan . Cuman hati-hati kalau kena tangan susah di bersihkan,2025-06-05 14:09:28
46614808059,yulianayayan668,Kapstok jempol_6,kapstok baju stainless 6 kait - gantungan baju stainless muran,5,,2025-06-05 13:59:24
46614802383,sariasih004,Lem G Btl kurus,Lem g Kore asli original botol kurus ada barcode rekat kuat garansi 10 bulan,5,,2025-06-05 13:58:54
46614799613,hiem26,Diansari panjang,Kotak kancing panjang obat diansari pernak pernik 20½ x 9 x 4 cm tebal - Tempat pernak pernik obat mur baut grosir,5,,2025-06-05 13:58:40
46614767234,n*****1,12BJ KRJ SURAT SP,(Isi 12pcs) Keranjang surat segi panjang sp - Tempat sendok alat tulis kantor plastik grosir,5,,2025-06-05 13:55:55
46614767232,n*****1,12BJ GROOVY,(isi 12bj) Keranjang surat segi panjang kecil serbaguna plastik - Tempat surat dokumen grosir,5,,2025-06-05 13:55:55
46614666306,lsk0hketxo,Peelr double jingpin,Peeler buah double 2 sisi plastik serbaguna murah,5,,2025-06-05 13:47:27
46614611615,azkasp577,12bj ctakn Melati,(12bj) cetakan puding jelly bunga melati kukus plastik warna dx rainbow,5,,2025-06-05 13:42:50
46614611613,azkasp577,12bj ctkn mawar Bsr,"(12bj) Cetakan bolu puding jelly mawar 6,5 cm grosir",5,,2025-06-05 13:42:50
46614611612,azkasp577,12Bj jasmine kecil,(12bj) Cetakan bunga jasmine plastik 7 cm kukus puding bolu per lusin,5,,2025-06-05 13:42:50
46614559833,j931m64sa3,Basi paprika bulat,Basi bulat prasmanan paprika plus tutup grosir,5,,2025-06-05 13:38:28
46614456841,shabrinajely,1bj Lap_warna acak,(1 pcs) Lap serbet warna dapur kotak kotak tebal ukuran besar 51x51 cm - grosir lap termurah,4,,2025-06-05 13:29:57
46614395912,love_indah,Hngr benmore coklat,Hanger anak plastik benmore 1 pak isi 6pcs grosir,4,,2025-06-05 13:24:48
46614349741,krfh3znoqq,Hngr benmore coklat,Hanger anak plastik benmore 1 pak isi 6pcs grosir,5,,2025-06-05 13:20:55
46614315132,ieieztaiesyha,Termos eknomis 6L,Termos Capucino 6L dan 8L - Rice Ice bucket ekomonis grosir,5,,2025-06-05 13:17:58
46614276291,aniezzvanessa,Hngr benmore coklat,Hanger anak plastik benmore 1 pak isi 6pcs grosir,5,,2025-06-05 13:14:52
46614244975,k22ti8jsos,12Bj jasmine besar,(12bj) Cetakan bunga jasmine plastik 7 cm kukus puding bolu per lusin,5,,2025-06-05 13:12:03
46614239421,rannuayukriswanto,1bks peniti swan,(1bks) peniti swan putih bagus semua ukuran grosir,5,,2025-06-05 13:11:35
46614217708,sutisna_gani,Basi segi brokoli,Basi prasmanan segi brokoli capucino plus tutup grosir,5,Singkat aja yg penting kena maksudnya..... P  U  A  S banget sama kualitas brngnya,2025-06-05 13:09:49
46614199871,luthfiumaroh,Lusinan jaring_8D,(12pcs) Gosok jaring jala hijau cuci piring 8D grosir termurah,5,,2025-06-05 13:08:21
46614198516,luthfiumaroh,Silet tatra,Silet cukur tatra original extra tajam 10 pcs - silet serbaguna,5,,2025-06-05 13:08:15
46614192486,hannamghanie,K kancing Panjang SS,"kotak kancing panjang 20,5 cm lebar 4- 9 tinggi 4 cm - Tempat alat tulis serbaguna Suryaplast tebal",5,,2025-06-05 13:07:44
46614164028,faiedshiin,Tempat sabn SOS,Tempat sabun LS + sikat gigi plastik - tempat sabun sos tempel tembok,5,,2025-06-05 13:05:28
46614148514,va9xwp5ful,Rak lovina Gold,Rak plastik serbaguna susun 3 lovina warna gold,3,,2025-06-05 13:04:11
46614086996,nova87huang,KR_super tebal,Burner kuningan rinnai kecil 7 cm super tebal asli original murah grosir,5,,2025-06-05 12:59:10
46614074132,tiarajunita980,12bj solet kecil,(12pcs) Solet pelet kue plastik Nice spatula murah serbaguna grosir,5,,2025-06-05 12:58:06
46614027905,bl1z2gmi57,12bj Lap_warna,(12 pcs) lap serbet dapur warna warni besar tebal kotak kotak 51x51 cm - grosir lap dapur warna,5,,2025-06-05 12:54:19
46613984228,jannahadjha,2BJ ABC AAA MINI,(2pcs) Baterai abc AAA kecil carbon zinc - Batrai murah grosir,5,,2025-06-05 12:50:43
46613914940,harisbae268,Kri sailormon,Keranjang mainan sabun kecil plus tentengan sailormon NC plastik tebal,5,,2025-06-05 12:45:09
46613914938,harisbae268,T.S Enci coklat,Tempat sendok alat tulis serbaguna enci capucino plastik grosir,5,,2025-06-05 12:45:09
46613914935,harisbae268,Ttkan panci Polos,Tatakan panci bahan kawat tahan panas murah berkualitas,5,,2025-06-05 12:45:09
46613910558,speuiqwimv,Eskan utsuri,Eskan minum segi utsuri alexis plastik tidak bau grosir,5,Performa:p,2025-06-05 12:44:49
46613910556,speuiqwimv,Gelas cucuk asa,Cangkir gelas cucuk asa anak kecil plastik grosir,1,,2025-06-05 12:44:49
46613910554,speuiqwimv,Perasan jeruk biasa,Perasan jeruk ipp plastik bening dx grosir - perasan jeruk tangan,5,,2025-06-05 12:44:49
46613910553,speuiqwimv,Ctkn ice bal mercury,Cetakan es batu jely puyuh bentuk bola mercury 23 lubang plastik dx warna cerah,5,,2025-06-05 12:44:49
46613889924,c*****6,Stik es krim,(1iket) Stik es cream kayu grosir murah - stik serbaguna,5,,2025-06-05 12:43:10
46613889922,c*****6,Cetkn jely stik,Cetakan jelly stik puding 6 lubang uniqueen KH transparant - ice trey jelly,5,,2025-06-05 12:43:10
46613068550,masilman392,10bjGunting kabel,(1slop) Kartu domino gaplek warna kuning,3,,2025-06-05 12:24:52
46613025221,bersabarlahhatiku,Tempat sendok moly,Tempat sendok alat tulis gandeng moly coklat grosir,5,,2025-06-05 12:24:26
