cmtid,author_username,model_name,product_name,rating_star,comment,submit_time
48289067576,deaolshop_19,1BJ Mk wizmi,Mangkok sup kuah warna warni wizmie plastik warna mengkilap,5,,2025-06-13 04:06:35
48289067549,deaolshop_19,Celengan kaleng XS,Calengan kaleng Mini XS - Celengan sovenir target grosir,5,,2025-06-13 04:06:35
48289067528,deaolshop_19,Piring kudo,Piring makan bulat 2 warna kudo plastik grosir,5,,2025-06-13 04:06:35
48289067503,deaolshop_19,Keset sumbu kecil,Keset sumbu kecil tebal - keset kain serbaguna grosir,5,,2025-06-13 04:06:35
48289067478,deaolshop_19,Eskan bening,Eskan plastik BHL juice holder ceret minum bening tutup warna berkualitas tak berbau,5,,2025-06-13 04:06:35
48289067465,deaolshop_19,Kapstok jempol_6,kapstok baju stainless 6 kait - gantungan baju stainless muran,5,,2025-06-13 04:06:35
48285783627,eem8qq0rtv,6BJ Sandal perl seri,(Isi 6pcs) Sandal jepit perl swallow seri ukuran lengkap,5,,2025-06-13 03:59:05
48274900623,winibal732013,"Waskom capucodia,Isi 3 pcs",(isi 6pcs) Waskom 16 besar pegangan samping capucidia plastik warna capucino,5,,2025-06-13 03:32:35
48274900597,winibal732013,Jepit_Abg,Jepit baju pakaian laundry clip ABG jepitan jemuran per 20 pcs termurah,5,,2025-06-13 03:32:35
48274900565,winibal732013,Kipas daun waru,kipas tangan plastik karakter waru murah warna warni,5,,2025-06-13 03:32:35
48265314096,aqulahsaja,Hngr benmore coklat,Hanger anak plastik benmore 1 pak isi 6pcs grosir,5,,2025-06-13 03:13:31
48258528811,7hvalpu_rt,Hngr benmore coklat,Hanger anak plastik benmore 1 pak isi 6pcs grosir,5,,2025-06-13 03:00:25
48258528783,7hvalpu_rt,"Capitan,Tanggung",Pencapit capitan kue minyak stainless steel murah termurah,5,,2025-06-13 03:00:25
48258528760,7hvalpu_rt,12bj garpu,(12 pcs) Garpu makan stainless steel murah grosir,5,,2025-06-13 03:00:25
48218754796,bayudevi954,Eskn cklat indoprima,Eskan muk tutup mini coklat gambar motif plastik,5,,2025-06-13 01:41:38
48214357663,aah04masriah,12Bj jasmine besar,(12bj) Cetakan bunga jasmine plastik 7 cm kukus puding bolu per lusin,5,,2025-06-13 01:30:53
48209373392,agucustom,K kancing Panjang SS,"kotak kancing panjang 20,5 cm lebar 4- 9 tinggi 4 cm - Tempat alat tulis serbaguna Suryaplast tebal",5,,2025-06-13 01:17:52
48209373370,agucustom,Sikat 747 SSB,Sikat baju kayu serbaguna jumbo bulu halus SB707,5,,2025-06-13 01:17:52
